Category,Detail,,,,,,,,,,,,,,,,,,,,,,,,
Gross motor impairment,Unable to stand without assistance,,,,,,,,,,,,,,,,,,,,,,,,
Gross motor impairment,Stumbling or swaying,,,,,,,,,,,,,,,,,,,,,,,,
Gross motor impairment,Falling or nearly falling,,,,,,,,,,,,,,,,,,,,,,,,
Coordination problems,Unable to follow simple physical instructions,,,,,,,,,,,,,,,,,,,,,,,,
Cognition issues,Disoriented to person/place/time,,,,,,,,,,,,,,,,,,,,,,,,
Cognition issues,Confused or rambling speech,,,,,,,,,,,,,,,,,,,,,,,,
Cognition issues,Unable to answer basic questions,,,,,,,,,,,,,,,,,,,,,,,,
Cognition issues,Slow or inconsistent responses,,,,,,,,,,,,,,,,,,,,,,,,
Cognition issues,Unresponsive or intermittently unresponsive,,,,,,,,,,,,,,,,,,,,,,,,
Communication impairment,Slurred speech,,,,,,,,,,,,,,,,,,,,,,,,
Communication impairment,Incoherent or unintelligible speech,,,,,,,,,,,,,,,,,,,,,,,,
Communication impairment,Repetitive or nonsensical statements,,,,,,,,,,,,,,,,,,,,,,,,
Communication impairment,Unable to sustain a coherent conversation,,,,,,,,,,,,,,,,,,,,,,,,
Physical signs,Strong odor of alcohol,,,,,,,,,,,,,,,,,,,,,,,,
Physical signs,Red or watery eyes,,,,,,,,,,,,,,,,,,,,,,,,
Physical signs,Dilated or pinpoint pupils,,,,,,,,,,,,,,,,,,,,,,,,
Physical signs,Sweating or clammy skin,,,,,,,,,,,,,,,,,,,,,,,,
Physical signs,Urinary or fecal incontinence,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to self,Walking into traffic,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to self,Vulnerable to victimization due to intoxication,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to self,Lying on the sidewalk unconscious or semi-conscious,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to others,Blocking or obstructing sidewalk/entryway,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to others,Erratic or unpredictable behavior,,,,,,,,,,,,,,,,,,,,,,,,
Safety risk to others,Inability to comply with commands needed for safety,,,,,,,,,,,,,,,,,,,,,,,,
Obstruction,Passed out on sidewalk,,,,,,,,,,,,,,,,,,,,,,,,
Obstruction,Blocking business entrance or doorway,,,,,,,,,,,,,,,,,,,,,,,,
Obstruction,Sitting or lying in roadway or median,,,,,,,,,,,,,,,,,,,,,,,,
Obstruction,Forcing pedestrians into street to pass,,,,,,,,,,,,,,,,,,,,,,,,
Additional SF indicator,Unable to care for basic needs,,,,,,,,,,,,,,,,,,,,,,,,
Additional SF indicator,Unable to refuse services coherently,,,,,,,,,,,,,,,,,,,,,,,,
Additional SF indicator,Falling asleep mid-interaction,,,,,,,,,,,,,,,,,,,,,,,,
Additional SF indicator,Needing physical support to remain upright,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (stimulants),Extreme agitation,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (stimulants),Rapid or pressured speech,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (stimulants),Paranoia or responding to unseen stimuli,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (stimulants),Overheating or elevated heart rate,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (opioids),Pinpoint pupils,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (opioids),Slow or shallow breathing,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (opioids),Repeated nodding off,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (opioids),Repeated near-collapse,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (depressants),Extreme drowsiness,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (depressants),Slowed or slurred speech,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (depressants),Poor muscle tone,,,,,,,,,,,,,,,,,,,,,,,,
Drug-specific (depressants),Minimal responsiveness,,,,,,,,,,,,,,,,,,,,,,,,
