DPH Name,Avail management,DRAFT Name,DPH DIDO Sprint Miro Board,CareConnect MVP,DPH Address,DPH Provider,DPH Population,DPH District,DPH # beds,DRAFT Site Nickname,Service Category,Staffing,Point in Time Capacity,Capacity Constraints,Service Region,Transport in,Transport out,Drop-off,Drop-in,Voluntary,Demographic,Intake Process,LOS,Documentation,Medi-Cal Billable,Site operator/Agency,DRAFT Site address,Site Neighborhood (Dan might want district),ADA Accessible?,Hours of operation,Hours of intake,Contact phone number (or how to reach operator),Voluntary or involuntary admission?,Locked or Unlocked facility?,Eligibility Requirements,Intake Complexity Level,Entry Barriers,Medical Clearance Required,Wait Location,Intake Process Summary,Primary Service Area,Transport Availability,Primary Referral Type,Accepts Police Referrals,EHR Platform,Data Integration Level,Key Access Notes,nstDistrict,latitude,longitude
Psychiatric Emergency Services,"Reddinet - not a bed count (red light, on/off mode)",SFGH PES Crisis Stabilization,ZSFG Psychiatry Emergency Services (PES),,"1001 Potrero Ave, San Francisco, California",SF DPH (ZSFG),MH,10,19,PES,MH Acute,medical credentials,20,yes,All SF,"yes (ambulance, police, EMS, CM escort taxi/uber)","yes (taxi to shelter/clinic, ambulance)",yes,yes,accepts holds,18+ (under 18 rare),intake + medical screen,<24 hours,Epic,yes,ZSFG PES,1001 Potrero Ave.,Mission,Yes,24/7,24/7,628-206-8000,Both,Both,"Must come from POL/FIR, currently all patients come through ED",Brief Screening,Self-present or POL/FIR only,Yes - through ED,Inside,"Self-present or POL/FIR drop off, fast-tracked through ED Triage to PES",Citywide,None - patients come via ED/ambulance,Hospital/Emergency,"Yes, POL/FIR only",Epic,Fully Integrated,"Cannot walk in clients on 5150, pathway to psych hospitalization",Mission/Castro,37.757067,-122.405554
Geary Stabilization Unit,"Reddinet - not a bed count (red light, on/off mode)",Crisis Diversion Facility: 822 Geary St,Crisis Diversion @ 822 Geary,X,"822 Geary St, San Francisco, California",Crestwood,MH,0,16,822 Geary,MH Acute,medical credentials,16,yes,TL & SOMA-focus,no,yes (Community Forward van),yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,<24 hours,Epic,yes,Crestwood Behavioral Health Inc.,822 Geary,TL/Lower Nob Hill,Yes,24/7,24/7,Email 822geary@sfdph.org,Voluntary,Unlocked,"18+, able to follow directions, non-violent, ambulatory or mobile with assistive device, can manage most ADLs",Brief Screening,Call ahead encouraged,Yes - quick medical assessment,Inside,"Call ahead encouraged (SCRT/police/street teams), walk-in limited but accepted, quick medical + psychosocial assessment",TL/SOMA (intended focus),Community Forward van to next destination,Street Crisis Teams/Police/Fire (prioritized),"Yes, via SCRT collaboration",Epic,Fully Integrated,"Discouraging self-referral and CBO referrals to prioritize crisis teams, still ramping up capacity",Central/Southern,37.78654,-122.417044
Progress Foundation Dore Clinic,"Reddinet - not a bed count (red light, on/off mode)",Progress Foundation Dore Urgent Care Center,Dore Urgent Care Center (DUCC),X,"52 Dore St, San Francisco, California",Progress Foundation,MH,6,9,DUCC,MH Acute,medical credentials,10,yes,All SF,no,yes (uber to ADU),yes,yes,yes,18+,intake + medical screen,<24 hours,Epic,yes,Progress Foundation,52 Dore Street,SOMA,Yes,24/7,24/7 (until full),(415) 553-3100,Voluntary,Unlocked,"MH diagnosis and in crisis but not 5150, can use assistive devices, must self-care (ADLs), no insulin/IM shots",Brief Screening,Call ahead encouraged but can walk-in,Yes - COVID/medical screening,Outside,"Self-referral or call ahead, medical/MH screening outside, may be turned away if too intoxicated/violent/capacity full",TL/SOMA/Mission,None - clients self-transport,Self-referral/Walk-in (majority),"Yes, but police must wait for full chart review + exclusion list check",Epic - Full Access,Fully Integrated,"Frequently full during key hours, exclusion list maintained, police must wait entire time for chart review",Central/Southern,37.773668,-122.413016
Edgewood Crisis Stabilization,,Edgewood Crisis Stabilization,Edgewood Crisis Stabilization Unit,,"1801 Vicente St, San Francisco, California",Edgewood Center,MH,4,2,Edgewood,MH Acute,medical credentials,4,no,All SF,yes,yes?,yes,"yes, but prefer referrrals",accepts holds,17-Jun,intake + medical screen,<24 hours,Epic (partial),yes,Edgewood,2681 28th Avenue,Parkside/Sunset,Yes,24/7,24/7,415-682-3278,Both,Both,"Ages 6-17, WETT criteria (walk/eat/talk/toilet), medical clearance, at risk of harming self/others",Full Assessment Required,Call ahead or walk-in; overnight needs approval,Yes - medical screening for clearance,Inside,"Call ahead recommended, get consent (12+ can self-consent), medical clearance, clinical assessment, collateral info gathering",Citywide,Transportation support provided,Anyone can refer (youth/caregiver/provider/school/hospital),"Yes, but usually police call Child Crisis first",Epic CareLink (limited) + own EHR,Partially Integrated,"EHR not fully integrated which impacts care coordination, only 4 beds, sometimes limited by presentation of kids already on unit",Richmond/Taraval/Park,37.738246,-122.48703
16th Street Hotel,,,,,"3161 16th St, San Francisco, California",0,MH,9,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission/Castro,37.764598,-122.423321
Crystal Hotel,,,,,"2766 Mission St, San Francisco, California",0,MH,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission/Castro,37.752764,-122.418827
Eddy Hotel,,,,,"640 Eddy St, San Francisco, California",0,MH,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin/Northern,37.78333,-122.418274
Oaktree Hotel,,,,,"171 Fell St, San Francisco, California",0,MH,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin/Northern,37.775966,-122.420783
HR360 Adult Res 815 Withdrawal Mangement - Medical,E-mail to provider -> MS Form -> BHS staff -> FindTreatment-SF,HR360 Adult Res 815 Withdrawal Management,HR360 WM,,"815 Buena Vista Ave West, San Francisco, California",HealthRight 360,SUD,8,26,HR360 WM,SUD WM,medical credentials,48,yes,All SF,no,no (just van from intake to facility),yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,>24 hours,Other EHR,yes,HR360,HR360 815 Buena Vista,"SOMA Intake, program in Lower Haight/Bernal",Yes,24/7,M-F 8:30-4pm (usually full by 2),"just drop in, no one checks the voicemail",Voluntary,Unlocked,"SF residents, ASAM urgent WM criteria (Dimension 1), ambulatory, ADL independent, 18+, no acute medical/psych urgency",Full Assessment Required,Separate intake site required + MAT assessment,Yes - TB clearance required,"Wait at intake site (1563 Mission), not at program site (815)","Must go to 1563 Mission for intake first (not 815 directly), initial screening, MAT assessment (causes delays), property check, transferred to WM if bed available",Citywide,HR360 vans between intake and facility,Self-referral + BHAC authorized,"Yes, M-F 8:30am-5pm only; After hours use SOMA Rise",Welligent + Avatar,Partially Integrated - Limited,"Cannot drop off at 815 directly, MAT assessment bottleneck, may be turned away due to staff/bed capacity, no daily notes visible to DPH",Richmond/Taraval/Park,37.769346,-122.443118
HR360 Adult Res 815 Withdrawal Mangement - Social,E-mail to provider -> MS Form -> BHS staff -> FindTreatment-SF,HR360 Adult Res 815 Withdrawal Management,HR360 WM,,"815 Buena Vista Ave West, San Francisco, California",HealthRight 360,SUD,8,22,HR360 WM,SUD WM,medical credentials,48,yes,All SF,no,no (just van from intake to facility),yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,>24 hours,Other EHR,yes,HR360,HR360 815 Buena Vista,"SOMA Intake, program in Lower Haight/Bernal",Yes,24/7,M-F 8:30-4pm (usually full by 2),"just drop in, no one checks the voicemail",Voluntary,Unlocked,"SF residents, ASAM urgent WM criteria (Dimension 1), ambulatory, ADL independent, 18+, no acute medical/psych urgency",Full Assessment Required,Separate intake site required + MAT assessment,Yes - TB clearance required,"Wait at intake site (1563 Mission), not at program site (815)","Must go to 1563 Mission for intake first (not 815 directly), initial screening, MAT assessment (causes delays), property check, transferred to WM if bed available",Citywide,HR360 vans between intake and facility,Self-referral + BHAC authorized,"Yes, M-F 8:30am-5pm only; After hours use SOMA Rise",Welligent + Avatar,Partially Integrated - Limited,"Cannot drop off at 815 directly, MAT assessment bottleneck, may be turned away due to staff/bed capacity, no daily notes visible to DPH",Richmond/Taraval/Park,37.769346,-122.443118
